inGameName,discord_id,balance
StarLight,,10617
Yuto,113817222413156356,1943
d,,13611
Trainer#3487,633273408339312642,1626
Wither,126798301692428288,2869
Twice,188800229301026817,15558
WaveofGratitude,237348174862352385,337
Walzy,184685912800624650,11373
Top,156505360302211072,10303
Dill Dough,447434697346383892,1941
AO,915445320815640626,14013
Ray,251382038295347210,2011
Epidemic,157720359867645952,18807
Claimses,184656337387520000,13343
Ermereas,298033872799793153,12736
Eunoia,285245955291217921,13222
Gearras,274572695255908353,18460
GhostlyInsomnia,,12565
Iyy,162092126732025856,15564
SmillBisser,213881991668563968,11762
Kei,214443733133819907,16952
Kino,465250038440919050,1671
gumgum,187470159538028544,13290
CashBaggins,147225844555710464,770
Kurumi,864858727022460948,8125
cinciol,,8745
Maslow,226772389957074944,0
Pygums,210979314315952128,12756
Keyevin,142372277541928960,12070
s,443626951199162378,10913
