race_id,horse_number,horse_name,strategy,skills
1756059272,1,Gold Trip,0,End Closer,Uma Stan
1756059272,2,Sakura Bakushin Oh,0,Front Runner,Huge Lead
1756059272,3,Shadow Baggins,0,Pace Chaser,Late Start
1756059272,4,Golden Cheater,0,Pace Chaser,"Homestretch Haste,Straightaway Adept"
1756059272,5,Oguri Hat,0,Pace Chaser,Trumpet Blast
1756059272,6,Thunder Gus,0,Front Runner,Late Start
1756059272,7,Nice Bullet,0,Late Surger,"Straightaway Adept,Homestretch Haste"
1756059272,8,Marzensty,0,Front Runner,Early Lead
1756059272,9,El,0,Pace Chaser,Victoria por plata
1756059272,10,Earth Rut,0,Pace Chaser,Fiery Satisfaction
