race_id,horse_name,horse_number,strategy,skills,final_position,final_place
1756059272,El,9,Pace Chaser,Victoria por plata,41,1
1756059272,Marzensty,8,Front Runner,Early Lead,40,2
1756059272,Oguri Hat,5,Pace Chaser,Trumpet Blast,40,3
1756059272,Earth Rut,10,Pace Chaser,Fiery Satisfaction,35,4
1756059272,Shadow Baggins,3,Pace Chaser,Late Start,35,5
1756059272,Sakura Bakushin Oh,2,Front Runner,Huge Lead,28,6
1756059272,Golden Cheater,4,Pace Chaser,"Homestretch Haste,Straightaway Adept",26,7
1756059272,Thunder Gus,6,Front Runner,Late Start,25,8
1756059272,Nice Bullet,7,Late Surger,"Straightaway Adept,Homestretch Haste",22,9
1756059272,Gold Trip,1,End Closer,Uma Stan,14,10
