inGameName,memberID,status,joinDate,departDate,clubInfoOrder,notes,discordHandle
CashBaggins,"136,916,624,276",Active,2025/07/08,,1,The founder! Data nerd.,CashBaggins
Top,"903,049,412,215",Inactive,2025/7/10,2025/09/02,2,"the OG club member, back in the day, it was just Cash and Top. Fun fact, Cash and Top share a birthday!",Top Plz
WaveofGratitude,"974,000,987,296",Active,2025/08/08,,3,round 1 recruiting member!,Wave of Gratitude
GhostlyInsomnia,"501,946,555,879",Active,2025/08/08,,4,round 1 recruiting member!,
Kino,"233,326,457,991",Active,2025/08/08,,5,round 1 recruiting member!,KinoYoru
Claimses,"858,827,110,578",Active,2025/08/08,,6,round 1 recruiting member!,
d,"820,033,818,439",Active,2025/08/08,,7,round 1 recruiting member!,
Yuto,"877,841,519,612",Active,2025/08/09,,8,round 1 recruiting member!,Yuto
Dill Dough,"218,920,851,907",Active,2025/08/09,,9,round 1 recruiting member!,Dill Dough
Pygums,"759,332,989,174",Active,2025/08/09,,10,round 1 recruiting member!,Pygums
Eunoia,"671,913,981,458",Active,2025/08/09,,11,round 1 recruiting member!,
Ray,"798,189,422,300",Active,2025/08/09,,12,round 1 recruiting member!,
Epidemic,"672,866,355,033",Active,2025/08/09,,13,Provided encouragement to Cash to get the club going!,Epidemic
Gearras,"880,360,629,036",Active,2025/08/09,,14,round 1 recruiting member!,Gearras
SmillBisser,PENDING000,Active,2025/08/09,,15,request,
StarLight,PENDING001,Inactive,2025/08/09,2025/09/02,16,request,
cinciol,PENDING002,Inactive,2025/08/09,2025/09/02,17,request,
Iyy,"627,953,692,508",Active,2025/08/09,,18,WaveofGratitude referral,
Walzy,"461,448,286,660",Active,2025/08/10,,19,round 1 recruiting member!,
Keyevin,"336,227,182,745",Active,2025/08/10,,20,round 1 recruiting member!,Keyevin
gumgum,"475,657,967,902",Active,2025/08/10,,21,round 1 recruiting member!,gumgum
Twice,"789,224,641,688",Active,2025/08/10,,22,round 1 recruiting member!,Twice
Ermereas,"830,268,572,889",Active,2025/08/10,,23,round 1 recruiting member!,Ermereas
Maslow,"875,289,491,964",Active,2025/08/10,,24,round 1 recruiting member!,MaslowP
Trainer#3487,"114,480,944,369",Active,2025/08/11,,25,round 1 recruiting member!,shh
Wither,"975,281,882,056",Active,2025/08/11,,26,round 2 recruiting,
AO,"864,375,266,121",Active,2025/08/11,,27,round 2 recruiting,Olive (AO)
s,"794,855,373,577",Active,2025/08/11,,28,round 2 recruiting,
Kurumi,"742,076,625,178",Active,2025/08/11,,29,round 2 recruiting,
Kei,"475,915,796,116",Active,2025/08/12,,30,round 2 recruiting,
Nice,"149,369,672,688",Active,2025/09/02,,31,referral from Wither,
